filename,gender,race,age,age_range,split
test_0001_aligned.jpg,female,Asian,20-39,20-39,test
test_0002_aligned.jpg,female,Asian,4-19,4-19,test
test_0003_aligned.jpg,female,Caucasian,4-19,4-19,test
test_0004_aligned.jpg,female,Caucasian,20-39,20-39,test
test_0005_aligned.jpg,unsure,Asian,4-19,4-19,test
test_0006_aligned.jpg,female,Caucasian,20-39,20-39,test
test_0007_aligned.jpg,male,Caucasian,20-39,20-39,test
test_0008_aligned.jpg,male,Caucasian,20-39,20-39,test
test_0009_aligned.jpg,female,Caucasian,20-39,20-39,test
test_0010_aligned.jpg,female,Caucasian,40-69,40-69,test
test_0011_aligned.jpg,female,Caucasian,20-39,20-39,test
test_0012_aligned.jpg,male,Asian,20-39,20-39,test
test_0013_aligned.jpg,male,Caucasian,40-69,40-69,test
test_0014_aligned.jpg,female,Asian,20-39,20-39,test
test_0015_aligned.jpg,male,Caucasian,20-39,20-39,test
test_0016_aligned.jpg,female,Caucasian,4-19,4-19,test
test_0017_aligned.jpg,male,African-American,40-69,40-69,test
test_0018_aligned.jpg,male,Caucasian,70+,70+,test
test_0019_aligned.jpg,female,Caucasian,40-69,40-69,test
test_0020_aligned.jpg,male,Asian,70+,70+,test
test_0021_aligned.jpg,female,Asian,20-39,20-39,test
test_0022_aligned.jpg,female,Caucasian,4-19,4-19,test
test_0023_aligned.jpg,female,Caucasian,20-39,20-39,test
test_0024_aligned.jpg,female,Caucasian,20-39,20-39,test
test_0025_aligned.jpg,female,Caucasian,20-39,20-39,test
test_0026_aligned.jpg,female,Caucasian,20-39,20-39,test
test_0027_aligned.jpg,male,Caucasian,20-39,20-39,test
test_0028_aligned.jpg,female,Caucasian,4-19,4-19,test
test_0029_aligned.jpg,male,African-American,20-39,20-39,test
test_0030_aligned.jpg,female,Caucasian,20-39,20-39,test
test_0031_aligned.jpg,female,Caucasian,20-39,20-39,test
test_0032_aligned.jpg,female,Caucasian,20-39,20-39,test
test_0033_aligned.jpg,male,Caucasian,70+,70+,test
test_0034_aligned.jpg,male,Caucasian,40-69,40-69,test
test_0035_aligned.jpg,unsure,Caucasian,0-3,0-3,test
test_0036_aligned.jpg,female,Caucasian,0-3,0-3,test
test_0037_aligned.jpg,male,Caucasian,20-39,20-39,test
test_0038_aligned.jpg,female,Caucasian,20-39,20-39,test
test_0039_aligned.jpg,male,Caucasian,20-39,20-39,test
